zone,week,person,table,group,role
Zone 1,4,Person 4354,39,40,
Zone 1,4,Person 2689,44,41,Leader
Zone 1,4,Person 1911,44,41,Scribe
Zone 1,4,Person 1043,44,41,Researcher
Zone 1,4,Person 275,44,41,
Zone 1,4,Person 3535,44,41,
Zone 1,4,Person 3466,44,41,
Zone 1,4,Person 2691,43,42,Leader
Zone 1,4,Person 1908,43,42,Scribe
Zone 1,4,Person 1056,43,42,Researcher
Zone 1,4,Person 283,43,42,
Zone 1,4,Person 3544,43,42,
Zone 1,4,Person 3471,43,42,
Zone 1,4,Person 2699,42,43,Leader
Zone 1,4,Person 1919,42,43,Scribe
Zone 1,4,Person 1064,42,43,Researcher
Zone 1,4,Person 284,42,43,
Zone 1,4,Person 3525,42,43,
Zone 1,4,Person 3475,42,43,
Zone 1,4,Person 2700,41,44,Leader
Zone 1,4,Person 1914,41,44,Scribe
Zone 1,4,Person 1073,41,44,Researcher
Zone 1,4,Person 286,41,44,
Zone 1,4,Person 3526,41,44,
Zone 1,4,Person 3488,41,44,
Zone 1,4,Person 2704,46,45,Leader
Zone 1,4,Person 1894,46,45,Scribe
Zone 1,4,Person 1074,46,45,Researcher
Zone 1,4,Person 4385,46,45,
Zone 1,4,Person 308,46,45,
Zone 1,4,Person 4411,46,45,
Zone 1,4,Person 2712,45,46,Leader
Zone 1,4,Person 1893,45,46,Scribe
Zone 1,4,Person 1075,45,46,Researcher
Zone 1,4,Person 4388,45,46,
Zone 1,4,Person 310,45,46,
Zone 1,4,Person 4415,45,46,
Zone 1,4,Person 2713,48,47,Leader
Zone 1,4,Person 1897,48,47,Scribe
Zone 1,4,Person 1083,48,47,Researcher
Zone 1,4,Person 4390,48,47,
Zone 1,4,Person 290,48,47,
Zone 1,4,Person 4396,48,47,
Zone 1,4,Person 2726,47,48,Leader
Zone 1,4,Person 1895,47,48,Scribe
Zone 1,4,Person 1086,47,48,Researcher
Zone 1,4,Person 4391,47,48,
Zone 1,4,Person 307,47,48,
Zone 1,4,Person 4399,47,48,
Zone 1,4,Person 2741,52,49,Leader
Zone 1,4,Person 1965,52,49,Scribe
Zone 1,4,Person 1089,52,49,Researcher
Zone 1,4,Person 311,52,49,
Zone 1,4,Person 3572,52,49,
Zone 1,4,Person 3497,52,49,
Zone 1,4,Person 2742,51,50,Leader
Zone 1,4,Person 1950,51,50,Scribe
Zone 1,4,Person 1092,51,50,Researcher
Zone 1,4,Person 325,51,50,
Zone 1,4,Person 3577,51,50,
Zone 1,4,Person 3500,51,50,
Zone 1,4,Person 2745,50,51,Leader
Zone 1,4,Person 1971,50,51,Scribe
Zone 1,4,Person 1095,50,51,Researcher
Zone 1,4,Person 331,50,51,
Zone 1,4,Person 3566,50,51,
Zone 1,4,Person 3523,50,51,
Zone 1,4,Person 2750,49,52,Leader
Zone 1,4,Person 1969,49,52,Scribe
Zone 1,4,Person 1096,49,52,Researcher
Zone 1,4,Person 334,49,52,
Zone 1,4,Person 3568,49,52,
Zone 1,4,Person 3524,49,52,
Zone 1,4,Person 2753,54,53,Leader
Zone 1,4,Person 1923,54,53,Scribe
Zone 1,4,Person 1097,54,53,Researcher
Zone 1,4,Person 4416,54,53,
Zone 1,4,Person 341,54,53,
Zone 1,4,Person 4449,54,53,
Zone 1,4,Person 2754,53,54,Leader
Zone 1,4,Person 1922,53,54,Scribe
Zone 1,4,Person 1099,53,54,Researcher
Zone 1,4,Person 4426,53,54,
Zone 1,4,Person 344,53,54,
Zone 1,4,Person 4457,53,54,
Zone 1,4,Person 2756,56,55,Leader
Zone 1,4,Person 1933,56,55,Scribe
Zone 1,4,Person 1112,56,55,Researcher
Zone 1,4,Person 4433,56,55,
Zone 1,4,Person 337,56,55,
Zone 1,4,Person 4438,56,55,
Zone 1,4,Person 2758,55,56,Leader
Zone 1,4,Person 1929,55,56,Scribe
Zone 1,4,Person 1113,55,56,Researcher
Zone 1,4,Person 4434,55,56,
Zone 1,4,Person 338,55,56,
Zone 1,4,Person 4443,55,56,
Zone 1,4,Person 2767,60,57,Leader
Zone 1,4,Person 1998,60,57,Scribe
Zone 1,4,Person 1114,60,57,Researcher
Zone 1,4,Person 361,60,57,
Zone 1,4,Person 3611,60,57,
Zone 1,4,Person 3553,60,57,
Zone 1,4,Person 2770,59,58,Leader
Zone 1,4,Person 1984,59,58,Scribe
Zone 1,4,Person 1118,59,58,Researcher
Zone 1,4,Person 362,59,58,
Zone 1,4,Person 3612,59,58,
Zone 1,4,Person 3557,59,58,
Zone 1,4,Person 2771,58,59,Leader
Zone 1,4,Person 2004,58,59,Scribe
Zone 1,4,Person 1120,58,59,Researcher
Zone 1,4,Person 369,58,59,
Zone 1,4,Person 3607,58,59,
Zone 1,4,Person 3561,58,59,
Zone 1,4,Person 2776,57,60,Leader
Zone 1,4,Person 2003,57,60,Scribe
Zone 1,4,Person 1127,57,60,Researcher
Zone 1,4,Person 370,57,60,
Zone 1,4,Person 3609,57,60,
Zone 1,4,Person 3564,57,60,
Zone 1,4,Person 2780,62,61,Leader
Zone 1,4,Person 1977,62,61,Scribe
Zone 1,4,Person 1137,62,61,Researcher
Zone 1,4,Person 4466,62,61,
Zone 1,4,Person 375,62,61,
Zone 1,4,Person 4482,62,61,
Zone 1,4,Person 2790,61,62,Leader
Zone 1,4,Person 1974,61,62,Scribe
Zone 1,4,Person 1140,61,62,Researcher
Zone 1,4,Person 4467,61,62,
Zone 1,4,Person 378,61,62,
Zone 1,4,Person 4483,61,62,
Zone 1,4,Person 2794,64,63,Leader
Zone 1,4,Person 1982,64,63,Scribe
Zone 1,4,Person 1143,64,63,Researcher
Zone 1,4,Person 4471,64,63,
Zone 1,4,Person 372,64,63,
Zone 1,4,Person 4475,64,63,
Zone 1,4,Person 2795,63,64,Leader
Zone 1,4,Person 1978,63,64,Scribe
Zone 1,4,Person 1146,63,64,Researcher
Zone 1,4,Person 4474,63,64,
Zone 1,4,Person 374,63,64,
Zone 1,4,Person 4476,63,64,
Zone 1,4,Person 2796,68,65,Leader
Zone 1,4,Person 2036,68,65,Scribe
Zone 1,4,Person 1151,68,65,Researcher
Zone 1,4,Person 379,68,65,
Zone 1,4,Person 3642,68,65,
Zone 1,4,Person 3589,68,65,
Zone 1,4,Person 2800,67,66,Leader
Zone 1,4,Person 2034,67,66,Scribe
Zone 1,4,Person 1160,67,66,Researcher
Zone 1,4,Person 403,67,66,
Zone 1,4,Person 3649,67,66,
Zone 1,4,Person 3595,67,66,
Zone 1,4,Person 2801,66,67,Leader
Zone 1,4,Person 2042,66,67,Scribe
Zone 1,4,Person 1168,66,67,Researcher
Zone 1,4,Person 404,66,67,
Zone 1,4,Person 3639,66,67,
Zone 1,4,Person 3600,66,67,
Zone 1,4,Person 2805,65,68,Leader
Zone 1,4,Person 2037,65,68,Scribe
Zone 1,4,Person 1170,65,68,Researcher
Zone 1,4,Person 407,65,68,
Zone 1,4,Person 3641,65,68,
Zone 1,4,Person 3606,65,68,
Zone 1,4,Person 2806,70,69,Leader
Zone 1,4,Person 2013,70,69,Scribe
Zone 1,4,Person 1172,70,69,Researcher
Zone 1,4,Person 4485,70,69,
Zone 1,4,Person 418,70,69,
Zone 1,4,Person 4519,70,69,
Zone 1,4,Person 2808,69,70,Leader
Zone 1,4,Person 2005,69,70,Scribe
Zone 1,4,Person 1174,69,70,Researcher
Zone 1,4,Person 4497,69,70,
Zone 1,4,Person 419,69,70,
Zone 1,4,Person 4525,69,70,
Zone 1,4,Person 2812,72,71,Leader
Zone 1,4,Person 2026,72,71,Scribe
Zone 1,4,Person 1176,72,71,Researcher
Zone 1,4,Person 4498,72,71,
Zone 1,4,Person 413,72,71,
Zone 1,4,Person 4504,72,71,
Zone 1,4,Person 2818,71,72,Leader
Zone 1,4,Person 2015,71,72,Scribe
Zone 1,4,Person 1179,71,72,Researcher
Zone 1,4,Person 4500,71,72,
Zone 1,4,Person 415,71,72,
Zone 1,4,Person 4518,71,72,
Zone 1,4,Person 2822,76,73,Leader
Zone 1,4,Person 2065,76,73,Scribe
Zone 1,4,Person 1184,76,73,Researcher
Zone 1,4,Person 425,76,73,
Zone 1,4,Person 3692,76,73,
Zone 1,4,Person 3615,76,73,
Zone 1,4,Person 2824,75,74,Leader
Zone 1,4,Person 2063,75,74,Scribe
Zone 1,4,Person 1185,75,74,Researcher
Zone 1,4,Person 430,75,74,
Zone 1,4,Person 3693,75,74,
Zone 1,4,Person 3627,75,74,
Zone 1,4,Person 2837,74,75,Leader
Zone 1,4,Person 2072,74,75,Scribe
Zone 1,4,Person 1193,74,75,Researcher
Zone 1,4,Person 432,74,75,
Zone 1,4,Person 3689,74,75,
Zone 1,4,Person 3631,74,75,
Zone 1,4,Person 2844,73,76,Leader
Zone 1,4,Person 2066,73,76,Scribe
Zone 1,4,Person 1195,73,76,Researcher
Zone 1,4,Person 433,73,76,
Zone 1,4,Person 3691,73,76,
Zone 1,4,Person 3635,73,76,
Zone 1,4,Person 2845,78,77,Leader
Zone 1,4,Person 2054,78,77,Scribe
Zone 1,4,Person 1198,78,77,Researcher
Zone 1,4,Person 4534,78,77,
Zone 1,4,Person 451,78,77,
Zone 1,4,Person 4569,78,77,
Zone 1,4,Person 2849,77,78,Leader
Zone 1,4,Person 2048,77,78,Scribe
Zone 1,4,Person 1200,77,78,Researcher
Zone 1,4,Person 4537,77,78,
Zone 1,4,Person 460,77,78,
Zone 1,4,Person 4572,77,78,
Zone 1,4,Person 2850,80,79,Leader
Zone 1,4,Person 2062,80,79,Scribe
Zone 1,4,Person 1203,80,79,Researcher
Zone 1,4,Person 4542,80,79,
Zone 1,4,Person 436,80,79,
Zone 1,4,Person 4549,80,79,
Zone 1,4,Person 2853,79,80,Leader
Zone 1,4,Person 2061,79,80,Scribe
Zone 1,4,Person 1208,79,80,Researcher
Zone 1,4,Person 4546,79,80,
Zone 1,4,Person 447,79,80,
Zone 1,4,Person 4563,79,80,
Zone 1,4,Person 2857,84,81,Leader
Zone 1,4,Person 2101,84,81,Scribe
Zone 1,4,Person 1209,84,81,Researcher
Zone 1,4,Person 466,84,81,
Zone 1,4,Person 3718,84,81,
Zone 1,4,Person 3656,84,81,
Zone 1,4,Person 2862,83,82,Leader
Zone 1,4,Person 2093,83,82,Scribe
Zone 1,4,Person 1215,83,82,Researcher
Zone 1,4,Person 467,83,82,
Zone 1,4,Person 3733,83,82,
Zone 1,4,Person 3657,83,82,
Zone 1,4,Person 2864,82,83,Leader
Zone 1,4,Person 2105,82,83,Scribe
Zone 1,4,Person 1220,82,83,Researcher
Zone 1,4,Person 475,82,83,
Zone 1,4,Person 3713,82,83,
Zone 1,4,Person 3669,82,83,
Zone 1,4,Person 2866,81,84,Leader
Zone 1,4,Person 2103,81,84,Scribe
Zone 1,4,Person 1224,81,84,Researcher
Zone 1,4,Person 482,81,84,
Zone 1,4,Person 3715,81,84,
Zone 1,4,Person 3684,81,84,
Zone 1,4,Person 2867,86,85,Leader
Zone 1,4,Person 2079,86,85,Scribe
Zone 1,4,Person 1226,86,85,Researcher
Zone 1,4,Person 4575,86,85,
Zone 1,4,Person 494,86,85,
Zone 1,4,Person 4603,86,85,
Zone 1,4,Person 2876,85,86,Leader
Zone 1,4,Person 2076,85,86,Scribe
Zone 1,4,Person 1228,85,86,Researcher
Zone 1,4,Person 4578,85,86,
Zone 1,4,Person 498,85,86,
Zone 1,4,Person 4605,85,86,
Zone 1,4,Person 2884,88,87,Leader
Zone 1,4,Person 2091,88,87,Scribe
Zone 1,4,Person 1229,88,87,Researcher
Zone 1,4,Person 4588,88,87,
Zone 1,4,Person 488,88,87,
Zone 1,4,Person 4598,88,87,
Zone 1,4,Person 2889,87,88,Leader
Zone 1,4,Person 2088,87,88,Scribe
Zone 1,4,Person 1239,87,88,Researcher
Zone 1,4,Person 4594,87,88,
Zone 1,4,Person 491,87,88,
Zone 1,4,Person 4601,87,88,
Zone 1,4,Person 2900,92,89,Leader
Zone 1,4,Person 2130,92,89,Scribe
Zone 1,4,Person 1242,92,89,Researcher
Zone 1,4,Person 499,92,89,
Zone 1,4,Person 3807,92,89,
Zone 1,4,Person 3695,92,89,
Zone 1,4,Person 2901,91,90,Leader
Zone 1,4,Person 2124,91,90,Scribe
Zone 1,4,Person 1248,91,90,Researcher
Zone 1,4,Person 501,91,90,
Zone 1,4,Person 3815,91,90,
Zone 1,4,Person 3698,91,90,
Zone 1,4,Person 2908,90,91,Leader
Zone 1,4,Person 2136,90,91,Scribe
Zone 1,4,Person 1250,90,91,Researcher
Zone 1,4,Person 503,90,91,
Zone 1,4,Person 3769,90,91,
Zone 1,4,Person 3707,90,91,
Zone 1,4,Person 2914,89,92,Leader
Zone 1,4,Person 2135,89,92,Scribe
Zone 1,4,Person 1252,89,92,Researcher
Zone 1,4,Person 506,89,92,
Zone 1,4,Person 3785,89,92,
Zone 1,4,Person 3711,89,92,
Zone 1,4,Person 2927,94,93,Leader
Zone 1,4,Person 2112,94,93,Scribe
Zone 1,4,Person 1256,94,93,Researcher
Zone 1,4,Person 4607,94,93,
Zone 1,4,Person 515,94,93,
Zone 1,4,Person 4631,94,93,
Zone 1,4,Person 2939,93,94,Leader
Zone 1,4,Person 2106,93,94,Scribe
Zone 1,4,Person 1259,93,94,Researcher
Zone 1,4,Person 4615,93,94,
Zone 1,4,Person 518,93,94,
Zone 1,4,Person 4644,93,94,
Zone 1,4,Person 2941,96,95,Leader
Zone 1,4,Person 2118,96,95,Scribe
Zone 1,4,Person 1261,96,95,Researcher
Zone 1,4,Person 4619,96,95,
Zone 1,4,Person 512,96,95,
Zone 1,4,Person 4622,96,95,
Zone 1,4,Person 2945,95,96,Leader
Zone 1,4,Person 2116,95,96,Scribe
Zone 1,4,Person 1266,95,96,Researcher
Zone 1,4,Person 4621,95,96,
Zone 1,4,Person 513,95,96,
Zone 1,4,Person 4627,95,96,
Zone 1,4,Person 2952,100,97,Leader
Zone 1,4,Person 2166,100,97,Scribe
Zone 1,4,Person 1271,100,97,Researcher
Zone 1,4,Person 519,100,97,
Zone 1,4,Person 3841,100,97,
Zone 1,4,Person 3734,100,97,
Zone 1,4,Person 2955,99,98,Leader
Zone 1,4,Person 2165,99,98,Scribe
Zone 1,4,Person 1274,99,98,Researcher
Zone 1,4,Person 522,99,98,
Zone 1,4,Person 3845,99,98,
Zone 1,4,Person 3737,99,98,
Zone 1,4,Person 2958,98,99,Leader
Zone 1,4,Person 2174,98,99,Scribe
Zone 1,4,Person 1290,98,99,Researcher
Zone 1,4,Person 530,98,99,
Zone 1,4,Person 3828,98,99,
Zone 1,4,Person 3738,98,99,
Zone 1,4,Person 2959,97,100,Leader
Zone 1,4,Person 2169,97,100,Scribe
Zone 1,4,Person 1294,97,100,Researcher
Zone 1,4,Person 532,97,100,
Zone 1,4,Person 3836,97,100,
Zone 1,4,Person 3745,97,100,
Zone 1,4,Person 2960,102,101,Leader
Zone 1,4,Person 2153,102,101,Scribe
Zone 1,4,Person 1298,102,101,Researcher
Zone 1,4,Person 4645,102,101,
Zone 1,4,Person 544,102,101,
Zone 1,4,Person 4664,102,101,
Zone 1,4,Person 2972,101,102,Leader
Zone 1,4,Person 2137,101,102,Scribe
Zone 1,4,Person 1300,101,102,Researcher
Zone 1,4,Person 4650,101,102,
Zone 1,4,Person 545,101,102,
Zone 1,4,Person 4665,101,102,
Zone 1,4,Person 2982,104,103,Leader
Zone 1,4,Person 2160,104,103,Scribe
Zone 1,4,Person 1302,104,103,Researcher
Zone 1,4,Person 4652,104,103,
Zone 1,4,Person 534,104,103,
Zone 1,4,Person 4655,104,103,
Zone 1,4,Person 2985,103,104,Leader
Zone 1,4,Person 2159,103,104,Scribe
Zone 1,4,Person 1309,103,104,Researcher
Zone 1,4,Person 4654,103,104,
Zone 1,4,Person 543,103,104,
Zone 1,4,Person 4657,103,104,
Zone 1,4,Person 2995,108,105,Leader
Zone 1,4,Person 2224,108,105,Scribe
Zone 1,4,Person 1322,108,105,Researcher
Zone 1,4,Person 546,108,105,
Zone 1,4,Person 3881,108,105,
Zone 1,4,Person 3819,108,105,
Zone 1,4,Person 2997,107,106,Leader
Zone 1,4,Person 2219,107,106,Scribe
Zone 1,4,Person 1324,107,106,Researcher
Zone 1,4,Person 547,107,106,
Zone 1,4,Person 3886,107,106,
Zone 1,4,Person 3821,107,106,
Zone 1,4,Person 3000,106,107,Leader
Zone 1,4,Person 2239,106,107,Scribe
Zone 1,4,Person 1334,106,107,Researcher
Zone 1,4,Person 551,106,107,
Zone 1,4,Person 3871,106,107,
Zone 1,4,Person 3822,106,107,
Zone 1,4,Person 3001,105,108,Leader
Zone 1,4,Person 2231,105,108,Scribe
Zone 1,4,Person 1336,105,108,Researcher
Zone 1,4,Person 554,105,108,
Zone 1,4,Person 3875,105,108,
Zone 1,4,Person 3826,105,108,
Zone 1,4,Person 3004,110,109,Leader
Zone 1,4,Person 2184,110,109,Scribe
Zone 1,4,Person 1339,110,109,Researcher
Zone 1,4,Person 4668,110,109,
Zone 1,4,Person 584,110,109,
Zone 1,4,Person 4688,110,109,
Zone 1,4,Person 3009,109,110,Leader
Zone 1,4,Person 2183,109,110,Scribe
Zone 1,4,Person 1345,109,110,Researcher
Zone 1,4,Person 4672,109,110,
Zone 1,4,Person 587,109,110,
Zone 1,4,Person 4694,109,110,
Zone 1,4,Person 3022,112,111,Leader
Zone 1,4,Person 2198,112,111,Scribe
Zone 1,4,Person 1355,112,111,Researcher
Zone 1,4,Person 4674,112,111,
Zone 1,4,Person 558,112,111,
Zone 1,4,Person 4683,112,111,
Zone 1,4,Person 3025,111,112,Leader
Zone 1,4,Person 2188,111,112,Scribe
Zone 1,4,Person 1378,111,112,Researcher
Zone 1,4,Person 4682,111,112,
Zone 1,4,Person 579,111,112,
Zone 1,4,Person 4684,111,112,
Zone 1,4,Person 3027,116,113,Leader
Zone 1,4,Person 2276,116,113,Scribe
Zone 1,4,Person 1379,116,113,Researcher
Zone 1,4,Person 592,116,113,
Zone 1,4,Person 3915,116,113,
Zone 1,4,Person 3846,116,113,
Zone 1,4,Person 3028,115,114,Leader
Zone 1,4,Person 2269,115,114,Scribe
Zone 1,4,Person 1389,115,114,Researcher
Zone 1,4,Person 601,115,114,
Zone 1,4,Person 3918,115,114,
Zone 1,4,Person 3850,115,114,
Zone 1,4,Person 3031,114,115,Leader
Zone 1,4,Person 2282,114,115,Scribe
Zone 1,4,Person 1394,114,115,Researcher
Zone 1,4,Person 603,114,115,
Zone 1,4,Person 3910,114,115,
Zone 1,4,Person 3865,114,115,
Zone 1,4,Person 3035,113,116,Leader
Zone 1,4,Person 2278,113,116,Scribe
Zone 1,4,Person 1398,113,116,Researcher
Zone 1,4,Person 608,113,116,
Zone 1,4,Person 3914,113,116,
Zone 1,4,Person 3866,113,116,
Zone 1,4,Person 3037,118,117,Leader
Zone 1,4,Person 2244,118,117,Scribe
Zone 1,4,Person 1407,118,117,Researcher
Zone 1,4,Person 4699,118,117,
Zone 1,4,Person 636,118,117,
Zone 1,4,Person 4747,118,117,
Zone 1,4,Person 3043,117,118,Leader
Zone 1,4,Person 2242,117,118,Scribe
Zone 1,4,Person 1410,117,118,Researcher
Zone 1,4,Person 4700,117,118,
Zone 1,4,Person 640,117,118,
Zone 1,4,Person 4751,117,118,
Zone 1,4,Person 3057,120,119,Leader
Zone 1,4,Person 2255,120,119,Scribe
Zone 1,4,Person 1419,120,119,Researcher
Zone 1,4,Person 4703,120,119,
Zone 1,4,Person 614,120,119,
Zone 1,4,Person 4740,120,119,
Zone 1,4,Person 3061,119,120,Leader
Zone 1,4,Person 2254,119,120,Scribe
Zone 1,4,Person 1420,119,120,Researcher
Zone 1,4,Person 4707,119,120,
Zone 1,4,Person 621,119,120,
Zone 1,4,Person 4743,119,120,
Zone 1,4,Person 3062,124,121,Leader
Zone 1,4,Person 2308,124,121,Scribe
Zone 1,4,Person 1426,124,121,Researcher
Zone 1,4,Person 649,124,121,
Zone 1,4,Person 3951,124,121,
Zone 1,4,Person 3889,124,121,
Zone 1,4,Person 3063,123,122,Leader
Zone 1,4,Person 2306,123,122,Scribe
Zone 1,4,Person 1432,123,122,Researcher
Zone 1,4,Person 652,123,122,
Zone 1,4,Person 3953,123,122,
Zone 1,4,Person 3895,123,122,
Zone 1,4,Person 3068,122,123,Leader
Zone 1,4,Person 2320,122,123,Scribe
Zone 1,4,Person 1437,122,123,Researcher
Zone 1,4,Person 654,122,123,
Zone 1,4,Person 3948,122,123,
Zone 1,4,Person 3902,122,123,
Zone 1,4,Person 3073,121,124,Leader
Zone 1,4,Person 2311,121,124,Scribe
Zone 1,4,Person 1439,121,124,Researcher
Zone 1,4,Person 657,121,124,
Zone 1,4,Person 3950,121,124,
Zone 1,4,Person 3906,121,124,
Zone 1,4,Person 3077,126,125,Leader
Zone 1,4,Person 2291,126,125,Scribe
Zone 1,4,Person 1442,126,125,Researcher
Zone 1,4,Person 4752,126,125,
Zone 1,4,Person 665,126,125,
Zone 1,4,Person 4783,126,125,
Zone 1,4,Person 3082,125,126,Leader
Zone 1,4,Person 2285,125,126,Scribe
Zone 1,4,Person 1443,125,126,Researcher
Zone 1,4,Person 4759,125,126,
Zone 1,4,Person 674,125,126,
Zone 1,4,Person 4789,125,126,
Zone 1,4,Person 3088,128,127,Leader
Zone 1,4,Person 2302,128,127,Scribe
Zone 1,4,Person 1444,128,127,Researcher
Zone 1,4,Person 4761,128,127,
Zone 1,4,Person 659,128,127,
Zone 1,4,Person 4775,128,127,
Zone 1,4,Person 3091,127,128,Leader
Zone 1,4,Person 2296,127,128,Scribe
Zone 1,4,Person 1450,127,128,Researcher
Zone 1,4,Person 4766,127,128,
Zone 1,4,Person 664,127,128,
Zone 1,4,Person 4782,127,128,
Zone 1,4,Person 3098,132,129,Leader
Zone 1,4,Person 2337,132,129,Scribe
Zone 1,4,Person 1451,132,129,Researcher
Zone 1,4,Person 677,132,129,
Zone 1,4,Person 3993,132,129,
Zone 1,4,Person 3930,132,129,
Zone 1,4,Person 3100,131,130,Leader
Zone 1,4,Person 2330,131,130,Scribe
Zone 1,4,Person 1453,131,130,Researcher
Zone 1,4,Person 684,131,130,
Zone 1,4,Person 3996,131,130,
Zone 1,4,Person 3931,131,130,
Zone 1,4,Person 3104,130,131,Leader
Zone 1,4,Person 2348,130,131,Scribe
Zone 1,4,Person 1456,130,131,Researcher
Zone 1,4,Person 692,130,131,
Zone 1,4,Person 3989,130,131,
Zone 1,4,Person 3944,130,131,
Zone 1,4,Person 3105,129,132,Leader
Zone 1,4,Person 2344,129,132,Scribe
Zone 1,4,Person 1458,129,132,Researcher
Zone 1,4,Person 695,129,132,
Zone 1,4,Person 3991,129,132,
Zone 1,4,Person 3945,129,132,
Zone 1,4,Person 3109,134,133,Leader
Zone 1,4,Person 2324,134,133,Scribe
Zone 1,4,Person 1468,134,133,Researcher
Zone 1,4,Person 4792,134,133,
Zone 1,4,Person 700,134,133,
Zone 1,4,Person 4825,134,133,
Zone 1,4,Person 3110,133,134,Leader
Zone 1,4,Person 2321,133,134,Scribe
Zone 1,4,Person 1469,133,134,Researcher
Zone 1,4,Person 4804,133,134,
Zone 1,4,Person 702,133,134,
Zone 1,4,Person 4827,133,134,
Zone 1,4,Person 3124,136,135,Leader
Zone 1,4,Person 2327,136,135,Scribe
Zone 1,4,Person 1478,136,135,Researcher
Zone 1,4,Person 4805,136,135,
Zone 1,4,Person 698,136,135,
Zone 1,4,Person 4813,136,135,
Zone 1,4,Person 3125,135,136,Leader
Zone 1,4,Person 2325,135,136,Scribe
Zone 1,4,Person 1491,135,136,Researcher
Zone 1,4,Person 4812,135,136,
Zone 1,4,Person 699,135,136,
Zone 1,4,Person 4824,135,136,
Zone 1,4,Person 3134,140,137,Leader
Zone 1,4,Person 2377,140,137,Scribe
Zone 1,4,Person 1510,140,137,Researcher
Zone 1,4,Person 722,140,137,
Zone 1,4,Person 4055,140,137,
Zone 1,4,Person 3955,140,137,
Zone 1,4,Person 3139,139,138,Leader
Zone 1,4,Person 2370,139,138,Scribe
Zone 1,4,Person 1513,139,138,Researcher
Zone 1,4,Person 723,139,138,
Zone 1,4,Person 4057,139,138,
Zone 1,4,Person 3962,139,138,
Zone 1,4,Person 3143,138,139,Leader
Zone 1,4,Person 2382,138,139,Scribe
Zone 1,4,Person 1526,138,139,Researcher
Zone 1,4,Person 724,138,139,
Zone 1,4,Person 4032,138,139,
Zone 1,4,Person 3968,138,139,
Zone 1,4,Person 3146,137,140,Leader
Zone 1,4,Person 2379,137,140,Scribe
Zone 1,4,Person 1533,137,140,Researcher
Zone 1,4,Person 726,137,140,
Zone 1,4,Person 4049,137,140,
Zone 1,4,Person 3969,137,140,
Zone 1,4,Person 3148,142,141,Leader
Zone 1,4,Person 2358,142,141,Scribe
Zone 1,4,Person 1534,142,141,Researcher
Zone 1,4,Person 4837,142,141,
Zone 1,4,Person 741,142,141,
Zone 1,4,Person 4888,142,141,
Zone 1,4,Person 3149,141,142,Leader
Zone 1,4,Person 2357,141,142,Scribe
Zone 1,4,Person 1537,141,142,Researcher
Zone 1,4,Person 4838,141,142,
Zone 1,4,Person 745,141,142,
Zone 1,4,Person 4889,141,142,
Zone 1,4,Person 3163,144,143,Leader
Zone 1,4,Person 2369,144,143,Scribe
Zone 1,4,Person 1541,144,143,Researcher
Zone 1,4,Person 4841,144,143,
Zone 1,4,Person 734,144,143,
Zone 1,4,Person 4876,144,143,
Zone 1,4,Person 3164,143,144,Leader
Zone 1,4,Person 2366,143,144,Scribe
Zone 1,4,Person 1543,143,144,Researcher
Zone 1,4,Person 4847,143,144,
Zone 1,4,Person 740,143,144,
Zone 1,4,Person 4885,143,144,
Zone 1,4,Person 3168,148,145,Leader
Zone 1,4,Person 2414,148,145,Scribe
Zone 1,4,Person 1544,148,145,Researcher
Zone 1,4,Person 754,148,145,
Zone 1,4,Person 4087,148,145,
Zone 1,4,Person 3997,148,145,
Zone 1,4,Person 3169,147,146,Leader
Zone 1,4,Person 2405,147,146,Scribe
Zone 1,4,Person 1547,147,146,Researcher
Zone 1,4,Person 756,147,146,
Zone 1,4,Person 4096,147,146,
Zone 1,4,Person 4005,147,146,
Zone 1,4,Person 3183,146,147,Leader
Zone 1,4,Person 2426,146,147,Scribe
Zone 1,4,Person 1549,146,147,Researcher
Zone 1,4,Person 759,146,147,
Zone 1,4,Person 4077,146,147,
Zone 1,4,Person 4013,146,147,
Zone 1,4,Person 3186,145,148,Leader
Zone 1,4,Person 2425,145,148,Scribe
Zone 1,4,Person 1550,145,148,Researcher
Zone 1,4,Person 763,145,148,
Zone 1,4,Person 4080,145,148,
Zone 1,4,Person 4016,145,148,
Zone 1,4,Person 3188,150,149,Leader
Zone 1,4,Person 2393,150,149,Scribe
Zone 1,4,Person 1583,150,149,Researcher
Zone 1,4,Person 4899,150,149,
Zone 1,4,Person 4109,150,149,
Zone 1,4,Person 4064,150,149,
Zone 1,4,Person 3189,149,150,Leader
Zone 1,4,Person 2391,149,150,Scribe
Zone 1,4,Person 1585,149,150,Researcher
Zone 1,4,Person 4911,149,150,
Zone 1,4,Person 4114,149,150,
Zone 1,4,Person 4068,149,150,
Zone 1,4,Person 3191,152,151,Leader
Zone 1,4,Person 2395,152,151,Scribe
Zone 1,4,Person 1599,152,151,Researcher
Zone 1,4,Person 4917,152,151,
Zone 1,4,Person 4097,152,151,
Zone 1,4,Person 4059,152,151,
Zone 1,4,Person 3207,151,152,Leader
Zone 1,4,Person 2394,151,152,Scribe
Zone 1,4,Person 1601,151,152,Researcher
Zone 1,4,Person 4920,151,152,
Zone 1,4,Person 4100,151,152,
Zone 1,4,Person 4063,151,152,
Zone 1,4,Person 3214,154,153,Leader
Zone 1,4,Person 2464,154,153,Scribe
Zone 1,4,Person 1620,154,153,Researcher
